epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
60,3575.87,1.35921,0.96494,0.98446,0.54054,0.44891,0.44128,0.26,1.27197,0.955,0.95192,0.0155387,0.00517958,0.0155387,0.00517958,0.0155387,0.00517958,0.0155387,0.00517958
61,3629.57,1.34731,0.96587,0.98241,0.5514,0.44685,0.43951,0.26015,1.27313,0.96029,0.95159,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
62,3685.75,1.35147,0.96096,0.97308,0.55606,0.45091,0.44418,0.26255,1.26945,0.95455,0.9502,0.0147613,0.00492042,0.0147613,0.00492042,0.0147613,0.00492042,0.0147613,0.00492042
63,3749.44,1.34688,0.95756,0.9744,0.55248,0.44008,0.43911,0.25856,1.27108,0.95341,0.95164,0.0143728,0.00479094,0.0143728,0.00479094,0.0143728,0.00479094,0.0143728,0.00479094
64,3805.44,1.33912,0.94689,0.97366,0.54758,0.44957,0.44389,0.26182,1.26794,0.95515,0.9496,0.0139849,0.00466163,0.0139849,0.00466163,0.0139849,0.00466163,0.0139849,0.00466163
65,3867.22,1.33961,0.95124,0.97978,0.55339,0.44841,0.44262,0.26041,1.27384,0.95838,0.95201,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258
66,3920.59,1.33729,0.94138,0.97634,0.55077,0.4445,0.44338,0.26139,1.26843,0.95516,0.95,0.0132117,0.0044039,0.0132117,0.0044039,0.0132117,0.0044039,0.0132117,0.0044039
67,3977.55,1.34492,0.94615,0.97445,0.54228,0.45254,0.44456,0.26275,1.26808,0.95132,0.95049,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
68,4029.03,1.323,0.93643,0.9731,0.55286,0.44733,0.4464,0.26486,1.26341,0.94851,0.94829,0.0124438,0.00414793,0.0124438,0.00414793,0.0124438,0.00414793,0.0124438,0.00414793
69,4078.27,1.33036,0.9306,0.96881,0.55098,0.44785,0.44369,0.26377,1.26568,0.95438,0.94915,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084
70,4129.44,1.32913,0.92698,0.97562,0.54817,0.45079,0.44605,0.26551,1.26697,0.94555,0.94976,0.0116833,0.00389445,0.0116833,0.00389445,0.0116833,0.00389445,0.0116833,0.00389445
71,4176.1,1.31954,0.92051,0.9688,0.55673,0.44815,0.44586,0.26427,1.26718,0.95111,0.95026,0.0113065,0.00376885,0.0113065,0.00376885,0.0113065,0.00376885,0.0113065,0.00376885
72,4224.56,1.32054,0.91617,0.96653,0.54712,0.4465,0.44286,0.26195,1.26682,0.95775,0.94862,0.0109324,0.00364412,0.0109324,0.00364412,0.0109324,0.00364412,0.0109324,0.00364412
73,4275.53,1.32216,0.92402,0.97297,0.54824,0.44851,0.44599,0.2655,1.26867,0.95345,0.95119,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
74,4326.93,1.31415,0.90788,0.96347,0.55229,0.44793,0.44428,0.26441,1.26864,0.95876,0.9498,0.010193,0.00339766,0.010193,0.00339766,0.010193,0.00339766,0.010193,0.00339766
75,4378.18,1.31887,0.90226,0.96744,0.54926,0.4459,0.43858,0.26112,1.26734,0.95503,0.94861,0.00982824,0.00327608,0.00982824,0.00327608,0.00982824,0.00327608,0.00982824,0.00327608
76,4433.51,1.31303,0.89877,0.96897,0.5451,0.44882,0.44138,0.26307,1.268,0.95213,0.94859,0.00946715,0.00315572,0.00946715,0.00315572,0.00946715,0.00315572,0.00946715,0.00315572
77,4487.49,1.29004,0.8764,0.96155,0.55775,0.44048,0.43891,0.26094,1.26926,0.95704,0.94885,0.00910996,0.00303665,0.00910996,0.00303665,0.00910996,0.00303665,0.00910996,0.00303665
78,4538.61,1.30213,0.88607,0.96341,0.56118,0.44247,0.44095,0.26233,1.26924,0.95195,0.94906,0.00875691,0.00291897,0.00875691,0.00291897,0.00875691,0.00291897,0.00875691,0.00291897
79,4590.48,1.29886,0.87549,0.95634,0.55562,0.44197,0.43963,0.26067,1.27142,0.95362,0.95037,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275
